Rank	Gene	HalfLife1	HalfLife2	HalfLife3	AverageHalfLife
157	YPR109W	577.199900562		45.667115369	311.433507966
158	YKL052C	820.444224166	75.6405847908	35.7213151299	310.602041362
159	YDR001C	49.6484850808	664.87836349	215.794543629	310.107130733
160	YMR136W	38.7036433781	845.606952568	33.7735068618	306.028034269
161	YDL169C	55.2674108694	657.143598837	205.614035387	306.008348365
162	YDR258C	85.271508762		526.541902258	305.90670551
163	YHR136C	515.557531718		92.3895996295	303.973565674
164	YLR081W	507.395301093	326.223951874	77.0223366495	303.547196539
165	YBR116C	790.056417648	76.2879588886	43.9259454144	303.42344065
166	YAL017W	134.125125404	709.526815073	62.2830315182	301.978323998
167	YPL152W	118.246699718	694.33028156	88.3861769745	300.321052751
168	YLR282C			299.737717683	299.737717683
169	YGL158W	51.4578651263	26.8840137529	820.097274009	299.47971763
170	YKL103C	56.5555058733	117.754578817	722.707489735	299.005858142
171	YJR078W	47.4001032072		538.430220467	292.915161837
172	Q0115	27.9235850909	321.548028402	528.412378379	292.62799729
173	YER079W	560.794103212		23.0221927702	291.908147991
174	YNR002C	115.758020052	728.914344371	23.8601917154	289.510852046
175	YOR226C	78.7510080133	763.560878849	23.7578273833	288.689904749
176	YGR199W	48.4214427351	784.456711208	27.1528948862	286.677016276
177	YIR032C	42.8223457391	778.324505023	38.4792067819	286.542019181
178	YML013C-A	43.5964882052	788.017044955	25.7934980931	285.802343751
179	YDL035C	42.7041661789	795.429102346	18.9615994089	285.698289311
180	Q0070	90.7755819798	599.747519486	166.436658187	285.653253217
